symbol,height,backness,round
i,high,front,0
y,high,front,1
ɨ,high,mid,0
ʉ,high,mid,1
ɯ,high,back,0
u,high,back,1
ɪ,near-high,front,0
ʏ,near-high,front,1
ʊ,near-high,near-back,1
e,close-mid,front,0
ø,close-mid,front,1
ɘ,close-mid,mid,0
ɵ,close-mid,mid,1
ɤ,close-mid,back,0
o,close-mid,back,1
ø̞,mid,front,0
ə,mid,mid,0
o̞,mid,back,1
ɛ,low-mid,front,0
œ,low-mid,front,1
ɜ,low-mid,mid,0
ɞ,low-mid,mid,1
ʌ,low-mid,back,0
ɔ,low-mid,back,1
æ,near-low,front,0
ɐ,low,front,0
Œ,low,front,1
ä,low,mid,0
ɑ,low,back,0
ɒ,low,back,1
